lead_id,company_size,industry,website_visits,pages_viewed,time_on_site_seconds,email_opens,email_clicks,form_submissions,content_downloads,webinar_attendance,days_since_first_touch,lead_source,actual_converted,predicted_probability,predicted_class
LEAD_5087,Large,Technology,49,11,999,8,2,4,4,1,38,Paid Ad,1,0.99,1
LEAD_5088,Enterprise,Education,35,5,1191,5,5,1,0,3,64,Paid Ad,1,0.4863,0
LEAD_5089,Small,Retail,14,10,1175,10,6,3,5,2,167,Social Media,1,0.5901,1
LEAD_5090,Enterprise,Healthcare,38,19,479,14,5,3,2,3,15,Website,1,0.8214,1
LEAD_5091,Enterprise,Retail,23,2,626,7,4,2,8,2,103,Website,0,0.8271,1
LEAD_5092,Enterprise,Retail,6,14,340,7,0,1,4,1,147,Website,0,0.3123,0
LEAD_5093,Medium,Education,12,2,292,15,2,5,5,3,87,Event,1,0.99,1
LEAD_5094,Large,Manufacturing,15,4,678,5,2,4,3,0,29,Event,1,0.9075,1
LEAD_5095,Small,Healthcare,23,27,153,11,4,4,1,1,75,Website,0,0.4007,0
LEAD_5096,Small,Technology,22,30,848,7,1,2,3,3,119,Social Media,1,0.6853,1
LEAD_5097,Medium,Education,1,24,650,9,6,1,5,2,33,Website,0,0.8986,1
LEAD_5098,Enterprise,Manufacturing,46,19,1787,5,0,3,7,0,90,Referral,1,0.6204,1
LEAD_5099,Enterprise,Healthcare,13,8,470,10,6,2,7,1,40,Referral,1,0.7171,1
LEAD_5100,Large,Healthcare,12,25,1238,12,9,5,3,1,129,Paid Ad,1,0.5568,1
LEAD_5101,Enterprise,Technology,31,27,1486,5,5,4,0,3,62,Website,1,0.99,1
LEAD_5102,Enterprise,Manufacturing,31,22,761,1,1,4,3,3,89,Website,1,0.8902,1
LEAD_5103,Medium,Healthcare,20,13,1476,12,10,2,2,1,134,Referral,0,0.1979,0
LEAD_5104,Enterprise,Manufacturing,36,14,156,2,0,1,5,3,173,Social Media,1,0.4553,0
LEAD_5105,Enterprise,Education,28,24,1200,14,1,2,6,3,163,Event,1,0.8491,1
LEAD_5106,Large,Technology,22,12,764,1,1,5,3,2,141,Social Media,1,0.9192,1
LEAD_5107,Large,Healthcare,19,10,562,15,9,1,8,3,2,Social Media,1,0.5594,1
LEAD_5108,Small,Finance,43,3,235,10,8,4,5,1,53,Referral,0,0.3751,0
LEAD_5109,Large,Retail,44,18,1550,12,5,0,5,1,82,Social Media,1,0.6012,1
LEAD_5110,Small,Technology,3,2,517,3,0,3,4,0,45,Social Media,1,0.3542,0
LEAD_5111,Small,Technology,15,3,314,1,1,5,2,2,168,Referral,1,0.3514,0
LEAD_5112,Medium,Retail,40,13,612,1,1,3,3,3,58,Event,0,0.5495,1
LEAD_5113,Large,Education,24,11,1605,9,7,0,6,0,162,Paid Ad,1,0.4165,0
LEAD_5114,Small,Finance,38,30,1100,15,9,0,1,0,126,Social Media,0,0.1896,0
LEAD_5115,Enterprise,Finance,6,9,686,1,1,1,3,0,95,Event,1,0.9493,1
LEAD_5116,Medium,Finance,10,2,1164,2,2,5,7,2,156,Website,0,0.6097,1
LEAD_5117,Small,Education,50,27,228,2,2,4,4,0,26,Event,0,0.3981,0
LEAD_5118,Large,Retail,47,16,1026,11,2,3,8,0,137,Social Media,0,0.6606,1
LEAD_5119,Small,Healthcare,17,5,516,5,5,0,6,0,179,Social Media,0,0.6105,1
LEAD_5120,Small,Retail,1,21,65,3,3,4,1,3,115,Referral,0,0.6132,1
LEAD_5121,Large,Retail,41,24,1068,4,1,3,3,0,73,Event,1,0.5637,1
LEAD_5122,Medium,Technology,9,9,579,13,4,1,8,2,149,Social Media,1,0.6716,1
LEAD_5123,Medium,Healthcare,9,23,136,0,0,1,5,2,60,Paid Ad,1,0.8321,1
LEAD_5124,Small,Retail,32,5,348,8,4,0,4,3,57,Event,1,0.99,1
LEAD_5125,Large,Manufacturing,15,1,699,0,0,4,8,3,96,Paid Ad,0,0.8543,1
LEAD_5126,Medium,Healthcare,39,5,1612,11,9,4,7,3,68,Paid Ad,1,0.9584,1
LEAD_5127,Enterprise,Healthcare,28,20,80,3,3,2,4,1,61,Event,1,0.6786,1
LEAD_5128,Small,Healthcare,24,3,1534,1,1,0,7,3,85,Website,0,0.4973,0
LEAD_5129,Medium,Finance,24,27,1349,14,6,3,2,3,157,Social Media,1,0.9606,1
LEAD_5130,Enterprise,Finance,50,6,507,12,2,2,3,3,135,Website,1,0.8064,1
LEAD_5131,Medium,Education,47,4,1411,12,8,4,7,0,63,Website,1,0.967,1
LEAD_5132,Enterprise,Healthcare,37,30,718,12,4,4,1,3,10,Website,1,0.99,1
LEAD_5133,Enterprise,Technology,47,10,886,1,1,0,5,3,43,Website,1,0.9169,1
LEAD_5134,Medium,Manufacturing,31,24,505,0,0,0,0,2,25,Event,0,0.3428,0
LEAD_5135,Enterprise,Manufacturing,45,28,263,0,0,5,6,2,61,Paid Ad,1,0.6967,1
LEAD_5136,Medium,Technology,19,6,565,7,7,1,2,2,71,Event,1,0.6362,1
LEAD_5137,Medium,Manufacturing,20,4,115,5,4,0,7,2,48,Paid Ad,1,0.8249,1
LEAD_5138,Large,Education,18,24,472,3,1,1,0,3,62,Website,0,0.5453,1
LEAD_5139,Large,Finance,11,17,763,4,2,0,4,1,60,Referral,1,0.3267,0
LEAD_5140,Medium,Technology,21,1,581,14,8,1,7,3,51,Referral,1,0.99,1
LEAD_5141,Large,Retail,44,11,329,13,7,5,4,1,87,Paid Ad,1,0.7615,1
LEAD_5142,Enterprise,Finance,30,27,912,12,0,3,2,2,153,Event,1,0.8875,1
LEAD_5143,Enterprise,Healthcare,17,29,270,11,3,4,6,3,9,Social Media,1,0.9641,1
LEAD_5144,Large,Technology,41,3,1175,11,1,2,6,3,50,Social Media,1,0.9363,1
LEAD_5145,Large,Healthcare,25,3,1087,2,2,2,3,0,98,Referral,0,0.4971,0
LEAD_5146,Small,Technology,40,7,1114,5,5,2,6,1,117,Paid Ad,0,0.4451,0
LEAD_5147,Enterprise,Manufacturing,37,22,1094,0,0,4,6,1,45,Website,0,0.9799,1
LEAD_5148,Small,Education,12,30,706,7,4,0,4,2,70,Referral,0,0.4347,0
LEAD_5149,Small,Technology,48,4,389,10,9,3,6,3,147,Referral,1,0.7012,1
LEAD_5150,Medium,Education,23,8,119,2,2,1,6,1,55,Event,0,0.3616,0
LEAD_5151,Enterprise,Retail,33,20,1566,15,10,3,6,0,44,Website,1,0.7324,1
LEAD_5152,Large,Education,39,6,667,3,0,0,6,0,5,Referral,0,0.4699,0
LEAD_5153,Enterprise,Retail,10,2,868,12,6,0,0,1,11,Website,1,0.788,1
LEAD_5154,Medium,Healthcare,29,15,483,2,0,0,1,0,104,Social Media,0,0.3792,0
LEAD_5155,Large,Manufacturing,31,8,1018,1,1,0,2,2,84,Website,1,0.5577,1
LEAD_5156,Medium,Education,9,6,1352,4,4,3,5,0,155,Website,0,0.4414,0
LEAD_5157,Large,Retail,37,30,1563,9,9,5,0,2,84,Paid Ad,1,0.7453,1
LEAD_5158,Small,Healthcare,41,7,754,2,2,0,0,2,89,Social Media,0,0.2738,0
LEAD_5159,Large,Finance,26,11,918,11,8,3,7,2,68,Social Media,1,0.9498,1
LEAD_5160,Small,Technology,30,24,660,10,6,0,8,2,17,Social Media,1,0.9571,1
LEAD_5161,Medium,Healthcare,23,21,1511,14,6,4,2,2,79,Referral,1,0.99,1
LEAD_5162,Small,Healthcare,44,14,102,15,7,4,1,2,53,Event,1,0.7691,1
LEAD_5163,Enterprise,Education,36,28,560,14,6,2,0,2,77,Event,0,0.5461,1
LEAD_5164,Medium,Technology,16,30,1668,13,7,4,2,1,110,Social Media,0,0.99,1
LEAD_5165,Large,Education,10,21,445,15,10,2,0,2,162,Paid Ad,1,0.7358,1
LEAD_5166,Large,Retail,42,28,506,5,2,4,3,3,29,Website,1,0.99,1
LEAD_5167,Medium,Manufacturing,31,22,527,9,0,1,6,1,124,Referral,0,0.3398,0
LEAD_5168,Medium,Education,48,10,289,7,2,3,7,2,85,Referral,1,0.5361,1
LEAD_5169,Enterprise,Education,2,16,742,3,3,5,3,0,26,Referral,0,0.5523,1
LEAD_5170,Large,Education,1,25,418,13,0,1,6,0,139,Paid Ad,1,0.4976,0
LEAD_5171,Large,Education,34,9,1225,15,5,5,5,1,134,Social Media,1,0.6475,1
LEAD_5172,Medium,Technology,40,20,1373,7,7,4,6,1,94,Event,1,0.8941,1
LEAD_5173,Enterprise,Finance,26,17,1715,11,0,1,8,2,162,Social Media,0,0.4756,0
LEAD_5174,Enterprise,Education,4,4,127,2,2,5,3,1,160,Referral,0,0.6162,1
LEAD_5175,Small,Manufacturing,38,21,1128,6,6,3,0,3,50,Paid Ad,1,0.782,1
LEAD_5176,Small,Healthcare,10,2,816,4,1,2,0,1,69,Social Media,0,0.0977,0
LEAD_5177,Medium,Education,19,22,287,3,3,0,1,2,33,Event,0,0.5894,1
LEAD_5178,Small,Healthcare,41,30,1702,5,5,3,6,2,174,Event,1,0.7345,1
LEAD_5179,Medium,Finance,18,6,679,8,7,2,5,3,100,Social Media,1,0.99,1
LEAD_5180,Enterprise,Education,7,17,966,10,2,4,8,1,133,Referral,0,0.7773,1
LEAD_5181,Large,Healthcare,35,12,292,4,4,5,3,0,111,Social Media,1,0.6894,1
LEAD_5182,Large,Education,43,14,210,0,0,3,2,1,105,Social Media,0,0.3029,0
LEAD_5183,Large,Technology,48,14,924,8,2,2,0,2,86,Event,1,0.6811,1
LEAD_5184,Large,Manufacturing,15,7,1165,8,1,4,6,1,30,Website,1,0.845,1
LEAD_5185,Large,Healthcare,41,30,1527,6,6,4,4,3,147,Social Media,1,0.746,1
LEAD_5186,Large,Retail,14,13,728,5,5,5,6,3,17,Paid Ad,1,0.99,1
LEAD_5187,Enterprise,Technology,22,24,1311,13,5,5,0,2,130,Social Media,1,0.8853,1
LEAD_5188,Enterprise,Finance,34,21,614,1,1,0,6,3,101,Event,1,0.99,1
LEAD_5189,Small,Healthcare,28,2,366,1,1,0,8,3,53,Paid Ad,1,0.9211,1
LEAD_5190,Large,Manufacturing,41,2,1341,1,1,5,3,0,90,Referral,1,0.508,1
LEAD_5191,Medium,Healthcare,46,1,1775,6,0,3,0,1,12,Event,1,0.308,0
LEAD_5192,Medium,Finance,41,10,1588,6,6,5,6,1,129,Social Media,1,0.6289,1
LEAD_5193,Enterprise,Education,46,7,1493,12,5,2,7,3,65,Website,1,0.9622,1
LEAD_5194,Large,Finance,40,28,1478,1,1,3,3,2,133,Website,1,0.6712,1
LEAD_5195,Medium,Healthcare,13,1,55,11,10,4,4,0,62,Social Media,0,0.5461,1
LEAD_5196,Small,Education,37,12,1521,8,0,0,7,3,76,Event,1,0.6042,1
LEAD_5197,Large,Healthcare,40,23,286,10,3,5,0,2,134,Referral,1,0.422,0
LEAD_5198,Large,Healthcare,8,30,398,13,10,2,0,0,144,Paid Ad,0,0.2732,0
LEAD_5199,Large,Healthcare,40,26,1151,12,8,0,6,3,109,Referral,1,0.7209,1
LEAD_5200,Enterprise,Healthcare,3,5,1006,14,10,1,6,1,25,Event,1,0.5462,1
LEAD_5201,Large,Healthcare,34,10,1175,3,1,3,6,0,124,Event,0,0.7508,1
LEAD_5202,Medium,Finance,5,19,1263,2,2,1,1,2,1,Paid Ad,0,0.3661,0
LEAD_5203,Small,Education,48,2,344,1,1,5,3,2,156,Paid Ad,0,0.5954,1
LEAD_5204,Small,Manufacturing,15,27,66,7,7,3,2,0,144,Referral,0,0.1572,0
LEAD_5205,Large,Technology,4,27,978,4,4,5,3,0,174,Website,0,0.8845,1
LEAD_5206,Small,Technology,41,2,1424,5,2,2,1,3,58,Referral,1,0.9151,1
LEAD_5207,Large,Finance,41,4,68,11,5,4,1,0,157,Referral,0,0.5376,1
LEAD_5208,Small,Education,44,12,335,14,0,1,4,2,18,Event,0,0.3879,0
LEAD_5209,Medium,Manufacturing,46,1,1047,11,5,2,0,2,162,Event,1,0.2093,0
LEAD_5210,Enterprise,Healthcare,17,11,324,12,4,3,5,0,122,Referral,1,0.9898,1
LEAD_5211,Large,Technology,40,4,1372,13,2,4,8,2,71,Event,0,0.8912,1
LEAD_5212,Medium,Education,5,10,1163,0,0,0,0,1,103,Referral,1,0.5768,1
LEAD_5213,Enterprise,Technology,38,24,528,0,0,1,0,3,157,Social Media,1,0.8428,1
LEAD_5214,Large,Education,34,2,77,3,3,2,4,0,24,Referral,1,0.4728,0
LEAD_5215,Small,Education,35,26,1251,9,6,3,6,1,159,Social Media,0,0.3817,0
LEAD_5216,Medium,Healthcare,33,21,1605,8,3,2,1,3,111,Referral,1,0.618,1
LEAD_5217,Small,Manufacturing,14,1,743,3,2,3,1,0,16,Event,1,0.4695,0
LEAD_5218,Large,Retail,21,26,306,9,9,4,8,1,110,Event,1,0.9188,1
LEAD_5219,Small,Retail,15,5,742,4,4,2,6,0,4,Website,0,0.6791,1
LEAD_5220,Large,Healthcare,19,15,1301,10,8,0,8,2,178,Social Media,0,0.7173,1
LEAD_5221,Medium,Manufacturing,37,6,230,2,2,1,4,3,4,Event,1,0.7182,1
LEAD_5222,Large,Technology,34,8,1407,8,2,4,3,3,55,Website,1,0.9795,1
LEAD_5223,Enterprise,Finance,1,4,654,2,1,0,0,2,172,Event,0,0.3386,0
LEAD_5224,Enterprise,Retail,39,29,1556,10,8,3,4,0,128,Website,1,0.574,1
LEAD_5225,Large,Finance,42,4,1700,2,2,5,3,1,71,Referral,1,0.7269,1
LEAD_5226,Small,Finance,39,7,481,15,3,3,1,3,148,Social Media,1,0.5038,1
LEAD_5227,Medium,Healthcare,35,29,1032,9,9,2,8,2,52,Paid Ad,1,0.99,1
LEAD_5228,Large,Manufacturing,49,26,249,13,4,4,7,0,73,Website,0,0.7464,1
LEAD_5229,Small,Education,18,29,1237,2,2,1,7,0,146,Referral,0,0.1338,0
LEAD_5230,Enterprise,Finance,8,28,823,7,1,2,7,3,108,Referral,0,0.99,1
LEAD_5231,Large,Healthcare,42,4,489,12,4,4,3,0,26,Event,1,0.8117,1
LEAD_5232,Large,Finance,37,24,1778,13,7,5,2,2,163,Website,0,0.99,1
LEAD_5233,Small,Healthcare,40,6,951,3,0,1,6,3,80,Website,1,0.5822,1
LEAD_5234,Enterprise,Retail,37,2,586,13,3,5,6,2,54,Paid Ad,1,0.99,1
LEAD_5235,Enterprise,Education,40,16,965,3,3,3,6,0,105,Website,1,0.5348,1
LEAD_5236,Medium,Education,36,1,74,4,4,1,1,0,10,Event,1,0.5653,1
LEAD_5237,Medium,Finance,20,8,849,10,9,5,4,3,4,Referral,1,0.99,1
LEAD_5238,Enterprise,Healthcare,37,24,713,13,7,5,7,0,72,Paid Ad,1,0.5967,1
LEAD_5239,Large,Retail,18,26,1211,9,5,1,8,1,82,Referral,1,0.7116,1
LEAD_5240,Medium,Education,47,13,983,1,1,4,2,1,120,Social Media,1,0.4919,0
LEAD_5241,Enterprise,Retail,10,30,1298,14,2,2,6,1,172,Paid Ad,1,0.4513,0
LEAD_5242,Medium,Manufacturing,46,17,597,1,1,2,3,3,47,Website,1,0.6064,1
LEAD_5243,Medium,Healthcare,1,8,1458,12,0,3,3,3,119,Referral,1,0.9329,1
LEAD_5244,Small,Retail,18,20,121,1,1,4,8,0,127,Website,0,0.7706,1
LEAD_5245,Large,Technology,19,16,1273,9,1,3,1,1,59,Social Media,0,0.6702,1
LEAD_5246,Medium,Finance,43,11,1038,10,7,2,4,2,139,Event,1,0.9829,1
LEAD_5247,Medium,Finance,32,26,954,5,0,2,3,1,72,Event,1,0.627,1
LEAD_5248,Small,Manufacturing,18,13,1130,15,8,3,1,1,158,Social Media,0,0.447,0
LEAD_5249,Large,Healthcare,14,7,898,12,5,4,1,1,44,Paid Ad,1,0.7486,1
LEAD_5250,Medium,Technology,28,6,670,13,8,2,7,2,54,Social Media,1,0.99,1
LEAD_5251,Small,Manufacturing,42,14,160,1,1,5,7,1,107,Referral,0,0.5227,1
LEAD_5252,Large,Retail,46,3,695,12,5,2,3,0,6,Social Media,1,0.6582,1
LEAD_5253,Enterprise,Education,29,8,1098,4,2,3,5,2,172,Social Media,1,0.5122,1
LEAD_5254,Medium,Finance,7,27,303,7,1,5,5,1,63,Event,1,0.7779,1
LEAD_5255,Small,Retail,27,21,755,4,3,2,3,0,146,Event,0,0.4445,0
LEAD_5256,Small,Retail,19,22,1070,9,6,1,4,1,180,Paid Ad,1,0.2995,0
LEAD_5257,Small,Finance,17,3,173,8,6,1,5,2,72,Social Media,1,0.967,1
LEAD_5258,Large,Manufacturing,13,1,725,10,3,2,0,0,152,Event,0,0.4856,0
LEAD_5259,Small,Technology,20,11,965,11,3,1,5,0,92,Paid Ad,0,0.3257,0
LEAD_5260,Enterprise,Manufacturing,2,28,1139,6,1,1,4,3,168,Referral,0,0.6514,1
LEAD_5261,Medium,Manufacturing,49,19,773,10,2,0,5,3,44,Social Media,1,0.7243,1
LEAD_5262,Enterprise,Education,22,12,1787,11,9,3,8,2,31,Social Media,1,0.99,1
LEAD_5263,Enterprise,Healthcare,25,29,1242,0,0,5,5,3,155,Referral,1,0.7214,1
LEAD_5264,Medium,Healthcare,9,25,1069,14,6,5,7,2,98,Event,1,0.9576,1
LEAD_5265,Large,Technology,30,4,1760,8,7,4,6,2,21,Paid Ad,1,0.7961,1
LEAD_5266,Enterprise,Education,24,4,796,4,0,1,5,0,130,Paid Ad,1,0.616,1
LEAD_5267,Enterprise,Manufacturing,18,10,1233,13,4,0,1,1,94,Social Media,0,0.2155,0
LEAD_5268,Medium,Education,31,22,42,0,0,3,8,1,23,Event,1,0.496,0
LEAD_5269,Large,Technology,29,13,398,9,8,3,4,2,148,Event,1,0.646,1
LEAD_5270,Large,Technology,41,28,966,15,4,1,4,0,37,Referral,1,0.8488,1
LEAD_5271,Small,Retail,15,29,578,6,2,1,4,3,50,Referral,0,0.6794,1
LEAD_5272,Small,Finance,36,24,892,15,10,2,1,3,30,Website,0,0.8976,1
LEAD_5273,Enterprise,Technology,16,18,542,10,6,4,4,2,142,Event,0,0.9713,1
LEAD_5274,Large,Finance,50,29,1158,6,3,5,0,2,74,Social Media,0,0.6359,1
LEAD_5275,Large,Manufacturing,8,28,1749,4,3,5,8,3,117,Website,1,0.99,1
LEAD_5276,Small,Manufacturing,27,24,30,15,8,0,4,0,56,Paid Ad,0,0.6729,1
LEAD_5277,Medium,Technology,12,26,1399,10,10,0,7,3,109,Paid Ad,1,0.6966,1
LEAD_5278,Small,Finance,37,1,1162,11,10,0,8,2,66,Social Media,0,0.7673,1
LEAD_5279,Medium,Retail,13,3,783,9,2,0,2,2,132,Paid Ad,1,0.3867,0
LEAD_5280,Small,Finance,44,30,562,8,5,1,0,0,76,Event,0,0.2087,0
LEAD_5281,Small,Education,24,22,53,1,1,4,5,0,111,Social Media,1,0.4211,0
LEAD_5282,Medium,Healthcare,17,4,75,14,3,3,2,0,136,Event,1,0.4408,0
LEAD_5283,Enterprise,Healthcare,42,27,598,8,8,0,6,1,168,Social Media,0,0.4234,0
LEAD_5284,Small,Finance,16,10,81,15,0,1,6,3,35,Social Media,1,0.564,1
LEAD_5285,Small,Finance,34,28,268,9,5,4,0,3,4,Social Media,1,0.743,1
