date,campaign_id,campaign_name,campaign_type,channel,region,impressions,clicks,conversions,spend,revenue,day_of_week,month,quarter,year,ctr,conversion_rate,cpc,cpa,roas
20/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,65904,1934,70,14828.46,361495.06,Wednesday,September,Q3,2023,2.93,3.62,7.67,211.84,24.38
21/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,38807,670,14,8731.71,34637.78,Thursday,September,Q3,2023,1.73,2.09,13.03,623.69,3.97
22/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,41175,755,17,9264.55,50936.76,Friday,September,Q3,2023,1.83,2.25,12.27,544.97,5.5
23/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,69741,1733,53,12553.4,145541.88,Saturday,September,Q3,2023,2.48,3.06,7.24,236.86,11.59
24/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,62660,1399,39,11278.9,90577.17,Sunday,September,Q3,2023,2.23,2.79,8.06,289.2,8.03
25/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,66813,1988,73,15032.94,317764.41,Monday,September,Q3,2023,2.98,3.67,7.56,205.93,21.14
26/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,51446,1178,33,11575.38,122274.37,Tuesday,September,Q3,2023,2.29,2.8,9.83,350.77,10.56
27/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,45106,906,22,10148.88,30369.16,Wednesday,September,Q3,2023,2.01,2.43,11.2,461.31,2.99
28/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,81289,2943,133,18290.03,289956.35,Thursday,September,Q3,2023,3.62,4.52,6.21,137.52,15.85
29/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,60023,1604,53,13505.32,150661.47,Friday,September,Q3,2023,2.67,3.3,8.42,254.82,11.16
30/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,79639,2260,80,14335.02,250123.73,Saturday,September,Q3,2023,2.84,3.54,6.34,179.19,17.45
01/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,78661,1574,39,14159.14,55428.45,Sunday,October,Q4,2023,2,2.48,9,363.05,3.91
02/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,78425,1956,61,17645.67,42428.59,Monday,October,Q4,2023,2.49,3.12,9.02,289.27,2.4
03/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,89959,2574,92,20240.89,89691.39,Tuesday,October,Q4,2023,2.86,3.57,7.86,220.01,4.43
04/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,67747,1460,39,15243.3,95281.32,Wednesday,October,Q4,2023,2.16,2.67,10.44,390.85,6.25
05/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,94619,2848,107,21289.48,258665.81,Thursday,October,Q4,2023,3.01,3.76,7.48,198.97,12.15
06/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,77435,1907,58,17422.88,161018.18,Friday,October,Q4,2023,2.46,3.04,9.14,300.39,9.24
07/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,103591,2731,90,18646.4,169583.42,Saturday,October,Q4,2023,2.64,3.3,6.83,207.18,9.09
08/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,96770,2383,73,17418.65,111004.52,Sunday,October,Q4,2023,2.46,3.06,7.31,238.61,6.37
09/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,120609,4628,221,27137.21,194825.63,Monday,October,Q4,2023,3.84,4.78,5.86,122.79,7.18
10/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,87769,2450,85,19748.15,234884.74,Tuesday,October,Q4,2023,2.79,3.47,8.06,232.33,11.89
11/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,69389,1531,42,15612.73,117433.81,Wednesday,October,Q4,2023,2.21,2.74,10.2,371.73,7.52
12/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,102485,3341,136,23059.14,448037.71,Thursday,October,Q4,2023,3.26,4.07,6.9,169.55,19.43
13/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,66518,1407,37,14966.67,115907.55,Friday,October,Q4,2023,2.12,2.63,10.64,404.5,7.74
14/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,114604,3342,121,20628.77,284038.73,Saturday,October,Q4,2023,2.92,3.62,6.17,170.49,13.77
15/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,66892,1138,24,12040.68,85905.81,Sunday,October,Q4,2023,1.7,2.11,10.58,501.7,7.13
16/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,64629,1328,34,14541.56,81290.82,Monday,October,Q4,2023,2.05,2.56,10.95,427.69,5.59
17/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,91472,2662,96,20581.23,189247.77,Tuesday,October,Q4,2023,2.91,3.61,7.73,214.39,9.2
18/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,101005,3245,130,22726.16,270859.84,Wednesday,October,Q4,2023,3.21,4.01,7,174.82,11.92
19/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,91023,2635,95,20480.27,193054.32,Thursday,October,Q4,2023,2.89,3.61,7.77,215.58,9.43
20/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,85971,2351,80,19343.6,61392.85,Friday,October,Q4,2023,2.73,3.4,8.23,241.8,3.17
21/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,103384,2720,89,18609.13,233630.41,Saturday,October,Q4,2023,2.63,3.27,6.84,209.09,12.55
22/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,77478,1527,37,13946.18,99896.61,Sunday,October,Q4,2023,1.97,2.42,9.13,376.92,7.16
23/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,75336,1805,54,16950.79,119350.12,Monday,October,Q4,2023,2.4,2.99,9.39,313.9,7.04
24/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,79899,2031,64,17977.32,123451.32,Tuesday,October,Q4,2023,2.54,3.15,8.85,280.9,6.87
25/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,106613,3616,153,23988.14,428008.79,Wednesday,October,Q4,2023,3.39,4.23,6.63,156.79,17.84
26/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,94055,2814,105,21162.44,406717.13,Thursday,October,Q4,2023,2.99,3.73,7.52,201.55,19.22
27/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,56975,1032,23,12819.4,58203.89,Friday,October,Q4,2023,1.81,2.23,12.42,557.37,4.54
28/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,117139,3492,130,21085.08,272206.1,Saturday,October,Q4,2023,2.98,3.72,6.04,162.19,12.91
29/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,101536,2624,84,18276.55,170254.75,Sunday,October,Q4,2023,2.58,3.2,6.97,217.58,9.32
30/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,76092,1842,55,17120.77,134430.72,Monday,October,Q4,2023,2.42,2.99,9.29,311.29,7.85
31/10/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,98773,3103,121,22224.03,180070.69,Tuesday,October,Q4,2023,3.14,3.9,7.16,183.67,8.1
01/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,106154,3585,151,23884.69,362368.51,Wednesday,November,Q4,2023,3.38,4.21,6.66,158.18,15.17
02/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,104398,3467,143,23489.77,364499.25,Thursday,November,Q4,2023,3.32,4.12,6.78,164.26,15.52
03/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,73235,1706,49,16478.03,194811.4,Friday,November,Q4,2023,2.33,2.87,9.66,336.29,11.82
04/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,103205,2711,89,18577.02,289675.33,Saturday,November,Q4,2023,2.63,3.28,6.85,208.73,15.59
05/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,117297,3501,130,21113.51,432539.04,Sunday,November,Q4,2023,2.98,3.71,6.03,162.41,20.49
06/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,105178,3519,147,23665.07,283657.25,Monday,November,Q4,2023,3.35,4.18,6.72,160.99,11.99
07/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,79572,2014,63,17903.92,191264.05,Tuesday,November,Q4,2023,2.53,3.13,8.89,284.19,10.68
08/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,84739,2284,76,19066.33,120725.55,Wednesday,November,Q4,2023,2.7,3.33,8.35,250.87,6.33
09/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,68534,1494,40,15420.16,109982.74,Thursday,November,Q4,2023,2.18,2.68,10.32,385.5,7.13
10/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,66952,1426,37,15064.24,104894.62,Friday,November,Q4,2023,2.13,2.59,10.56,407.14,6.96
11/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,127885,4162,169,23019.46,318881.45,Saturday,November,Q4,2023,3.25,4.06,5.53,136.21,13.85
12/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,139848,4977,221,25172.74,905990.35,Sunday,November,Q4,2023,3.56,4.44,5.06,113.9,35.99
13/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,86739,2393,82,19516.42,242219.71,Monday,November,Q4,2023,2.76,3.43,8.16,238.01,12.41
14/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,105670,3552,149,23775.91,145694.79,Tuesday,November,Q4,2023,3.36,4.19,6.69,159.57,6.13
15/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,94372,2833,106,21233.79,311882.52,Wednesday,November,Q4,2023,3,3.74,7.5,200.32,14.69
16/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,76652,1869,56,17246.72,121747.95,Thursday,November,Q4,2023,2.44,3,9.23,307.98,7.06
17/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,94368,2833,106,21232.84,265116.7,Friday,November,Q4,2023,3,3.74,7.49,200.31,12.49
18/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,143848,5266,241,25892.72,692299.45,Saturday,November,Q4,2023,3.66,4.58,4.92,107.44,26.74
19/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,109220,3036,105,19659.72,295304.74,Sunday,November,Q4,2023,2.78,3.46,6.48,187.24,15.02
20/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,115547,4247,195,25998.09,169392.39,Monday,November,Q4,2023,3.68,4.59,6.12,133.32,6.52
21/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,41895,558,9,9426.57,14160.1,Tuesday,November,Q4,2023,1.33,1.61,16.89,1047.4,1.5
22/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,102473,3340,136,23056.6,424061.51,Wednesday,November,Q4,2023,3.26,4.07,6.9,169.53,18.39
23/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,89539,2550,90,20146.33,318686.71,Thursday,November,Q4,2023,2.85,3.53,7.9,223.85,15.82
24/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,82744,2178,71,18617.44,285599.08,Friday,November,Q4,2023,2.63,3.26,8.55,262.22,15.34
25/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,112027,3194,113,20165,445506.41,Saturday,November,Q4,2023,2.85,3.54,6.31,178.45,22.09
26/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,66278,1118,23,11930.19,19678.13,Sunday,November,Q4,2023,1.69,2.06,10.67,518.7,1.65
27/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,84140,2252,75,18931.63,233668.93,Monday,November,Q4,2023,2.68,3.33,8.41,252.42,12.34
28/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,94292,2828,106,21215.88,102498.59,Tuesday,November,Q4,2023,3,3.75,7.5,200.15,4.83
29/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,114020,4136,187,25654.53,708894.67,Wednesday,November,Q4,2023,3.63,4.52,6.2,137.19,27.63
30/11/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,78884,1979,62,17749.08,167566.13,Thursday,November,Q4,2023,2.51,3.13,8.97,286.28,9.44
01/12/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,68506,1608,47,15414.01,74592.05,Friday,December,Q4,2023,2.35,2.92,9.59,327.96,4.84
02/12/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,91900,2314,72,16542.02,295770.29,Saturday,December,Q4,2023,2.52,3.11,7.15,229.75,17.88
03/12/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,120852,4003,165,21753.54,497504.15,Sunday,December,Q4,2023,3.31,4.12,5.43,131.84,22.87
27/08/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,50317,1501,55,7547.64,54289.45,Tuesday,August,Q3,2024,2.98,3.66,5.03,137.23,7.19
28/08/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,42210,1056,33,6331.65,90247.56,Wednesday,August,Q3,2024,2.5,3.12,6,191.87,14.25
29/08/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,52059,1607,62,7808.99,118735.46,Thursday,August,Q3,2024,3.09,3.86,4.86,125.95,15.2
30/08/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,48130,1373,48,7219.5,124273.75,Friday,August,Q3,2024,2.85,3.5,5.26,150.41,17.21
31/08/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,70449,2354,98,8453.99,208528.74,Saturday,August,Q3,2024,3.34,4.16,3.59,86.27,24.67
01/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,50730,1220,36,6087.61,129556.62,Sunday,September,Q3,2024,2.4,2.95,4.99,169.1,21.28
02/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,44119,1154,37,6617.9,50370.72,Monday,September,Q3,2024,2.62,3.21,5.73,178.86,7.61
03/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,43510,1122,36,6526.62,99141.27,Tuesday,September,Q3,2024,2.58,3.21,5.82,181.3,15.19
04/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,33393,661,16,5009.08,63221.61,Wednesday,September,Q3,2024,1.98,2.42,7.58,313.07,12.62
05/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,50009,1483,54,7501.42,99275.32,Thursday,September,Q3,2024,2.97,3.64,5.06,138.92,13.23
06/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,49678,1463,53,7451.76,141431.5,Friday,September,Q3,2024,2.94,3.62,5.09,140.6,18.98
07/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,59077,1655,57,7089.24,151711.27,Saturday,September,Q3,2024,2.8,3.44,4.28,124.37,21.4
08/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,56247,1501,50,6749.73,97411.91,Sunday,September,Q3,2024,2.67,3.33,4.5,134.99,14.43
09/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,33848,679,17,5077.27,51311.35,Monday,September,Q3,2024,2.01,2.5,7.48,298.66,10.11
10/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,43241,1108,35,6486.2,90217.41,Tuesday,September,Q3,2024,2.56,3.16,5.85,185.32,13.91
11/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,43977,1146,37,6596.58,64564.48,Wednesday,September,Q3,2024,2.61,3.23,5.76,178.29,9.79
12/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,39637,931,27,5945.65,105559.55,Thursday,September,Q3,2024,2.35,2.9,6.39,220.21,17.75
13/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,45690,1238,41,6853.55,128464.97,Friday,September,Q3,2024,2.71,3.31,5.54,167.16,18.74
14/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,63785,1930,73,7654.3,172740.95,Saturday,September,Q3,2024,3.03,3.78,3.97,104.85,22.57
15/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,81279,3134,151,9753.59,300589.69,Sunday,September,Q3,2024,3.86,4.82,3.11,64.59,30.82
16/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,48861,1415,51,7329.27,95498.01,Monday,September,Q3,2024,2.9,3.6,5.18,143.71,13.03
17/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,49645,1461,53,7446.79,184691.9,Tuesday,September,Q3,2024,2.94,3.63,5.1,140.51,24.8
18/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,46510,1282,44,6976.55,104843.97,Wednesday,September,Q3,2024,2.76,3.43,5.44,158.56,15.03
19/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,29095,502,10,4364.25,28675.51,Thursday,September,Q3,2024,1.73,1.99,8.69,436.42,6.57
20/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,46962,1307,45,7044.45,105859.56,Friday,September,Q3,2024,2.78,3.44,5.39,156.54,15.03
21/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,59727,1692,59,7167.31,176594.53,Saturday,September,Q3,2024,2.83,3.49,4.24,121.48,24.64
22/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,88091,3681,192,10570.94,462185.61,Sunday,September,Q3,2024,4.18,5.22,2.87,55.06,43.72
23/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,45396,1222,41,6809.54,127554.41,Monday,September,Q3,2024,2.69,3.36,5.57,166.09,18.73
24/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,50060,1486,55,7509.11,129438.72,Tuesday,September,Q3,2024,2.97,3.7,5.05,136.53,17.24
25/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,46885,1303,45,7032.83,142365.14,Wednesday,September,Q3,2024,2.78,3.45,5.4,156.29,20.24
26/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,36177,776,20,5426.68,60758.15,Thursday,September,Q3,2024,2.15,2.58,6.99,271.33,11.2
27/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,58004,1995,85,8700.69,204570.53,Friday,September,Q3,2024,3.44,4.26,4.36,102.36,23.51
28/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,67891,2186,88,8147.04,159471.68,Saturday,September,Q3,2024,3.22,4.03,3.73,92.58,19.57
29/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,68353,2216,89,8202.42,155563.46,Sunday,September,Q3,2024,3.24,4.02,3.7,92.16,18.97
30/09/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,38626,884,25,5793.94,47685.26,Monday,September,Q3,2024,2.29,2.83,6.55,231.76,8.23
01/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,84643,3034,135,12696.49,231175.33,Tuesday,October,Q4,2024,3.58,4.45,4.18,94.05,18.21
02/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,47566,958,24,7134.99,76623.29,Wednesday,October,Q4,2024,2.01,2.51,7.45,297.29,10.74
03/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,73856,2310,90,11078.51,221644.63,Thursday,October,Q4,2024,3.13,3.9,4.8,123.09,20.01
04/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,95055,3827,192,14258.39,721167.51,Friday,October,Q4,2024,4.03,5.02,3.73,74.26,50.58
05/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,66255,1487,41,7950.61,177262.02,Saturday,October,Q4,2024,2.24,2.76,5.35,193.92,22.3
06/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,73265,1819,56,8791.85,141085.17,Sunday,October,Q4,2024,2.48,3.08,4.83,157,16.05
07/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,67416,1925,68,10112.4,85787.86,Monday,October,Q4,2024,2.86,3.53,5.25,148.71,8.48
08/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,59442,1496,47,8916.43,103157.35,Tuesday,October,Q4,2024,2.52,3.14,5.96,189.71,11.57
09/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,45599,880,21,6839.9,51234.15,Wednesday,October,Q4,2024,1.93,2.39,7.77,325.71,7.49
10/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,67005,1901,67,10050.76,87719.49,Thursday,October,Q4,2024,2.84,3.52,5.29,150.01,8.73
11/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,52055,1147,31,7808.29,71287.77,Friday,October,Q4,2024,2.2,2.7,6.81,251.88,9.13
12/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,90449,2772,106,10853.91,289333.05,Saturday,October,Q4,2024,3.06,3.82,3.92,102.4,26.66
13/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,67430,1540,43,8091.62,91695.68,Sunday,October,Q4,2024,2.28,2.79,5.25,188.18,11.33
14/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,86588,3176,145,12988.26,273362.59,Monday,October,Q4,2024,3.67,4.57,4.09,89.57,21.05
15/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,55744,1316,38,8361.64,71933.79,Tuesday,October,Q4,2024,2.36,2.89,6.35,220.04,8.6
16/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,61841,1620,53,9276.16,208255.39,Wednesday,October,Q4,2024,2.62,3.27,5.73,175.02,22.45
17/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,76853,2502,101,11527.97,239600.6,Thursday,October,Q4,2024,3.26,4.04,4.61,114.14,20.78
18/10/2024,CMP_1001,Retargeting - Facebook - North - Q2,Retargeting,Facebook,North,49826,1051,27,7474.05,49573.51,Friday,October,Q4,2024,2.11,2.57,7.11,276.82,6.63
