customer_id,gender,age,age_group,income,income_bracket,region,city_tier,customer_segment,acquisition_channel,tenure_months,lifetime_value,total_purchases,avg_order_value,last_purchase_days,email_open_rate,website_visits_monthly,app_sessions_monthly,support_tickets,satisfaction_score,nps_category,is_churned,churn_probability
CUST_10046,Female,43,36-45,188561,High,South,Tier 1,Premium,Referral,19,65308,31,2106.71,24,0.238,14,0,0,4.24,Passive,0,0
CUST_10047,Male,34,26-35,195887,High,Central,Tier 3,Premium,Social Media,29,59011,73,808.37,2,0.212,20,9,3,3.13,Detractor,0,0.039
CUST_10048,Female,33,26-35,63812,Medium,West,Tier 1,Budget,Social Media,46,12999,30,433.3,60,0.213,2,9,3,2.83,Detractor,1,0.266
CUST_10049,Female,33,26-35,102611,High,South,Tier 3,Regular,Referral,12,6111,22,277.77,51,0.323,7,15,3,3.22,Detractor,0,0.17
CUST_10050,Male,30,26-35,128756,High,Central,Tier 2,Regular,Organic,54,43833,97,451.89,85,0.205,0,9,0,3.96,Passive,0,0.124
CUST_10051,Female,33,26-35,232958,Premium,South,Tier 3,Premium,Social Media,16,40766,21,1941.24,1,0.34,19,14,1,4.42,Passive,0,0
CUST_10052,Female,35,26-35,64969,Medium,South,Tier 1,Regular,Referral,53,16121,100,161.21,25,0.085,0,1,1,3.79,Passive,0,0.091
CUST_10053,Male,48,46-55,105558,High,South,Tier 1,Regular,Offline Event,1,586,1,586,9,0.206,1,4,1,3.54,Passive,0,0.104
CUST_10054,Other,46,46-55,101757,High,West,Tier 3,Churned,Paid Search,35,2874,9,319.33,177,0.079,0,2,5,1.88,Detractor,1,1
CUST_10055,Female,33,26-35,64433,Medium,East,Tier 1,New,Organic,6,592,4,148,62,0.267,1,15,1,3.63,Passive,0,0.238
CUST_10056,Male,39,36-45,84298,Medium,South,Tier 1,New,Organic,1,127,0,127,32,0.224,0,2,1,3.98,Passive,0,0.178
CUST_10057,Male,36,36-45,27916,Low,South,Tier 3,New,Referral,4,259,1,259,36,0.178,2,11,3,3.53,Passive,0,0.226
CUST_10058,Male,39,36-45,83548,Medium,South,Tier 3,Regular,Social Media,16,5896,10,589.6,86,0.429,3,4,3,3,Detractor,0,0.221
CUST_10059,Female,51,46-55,112621,High,North,Tier 1,Regular,Referral,13,5052,38,132.95,27,0.294,5,0,1,3.44,Detractor,0,0.128
CUST_10060,Female,37,36-45,104126,High,West,Tier 1,Regular,Organic,16,9621,32,300.66,39,0.226,7,2,3,3.02,Detractor,1,0.18
CUST_10061,Female,25,18-25,115345,High,West,Tier 1,Regular,Social Media,33,26392,52,507.54,20,0.325,0,15,0,3.84,Passive,0,0.083
CUST_10062,Other,54,46-55,105138,High,Central,Tier 1,Regular,Offline Event,17,9835,21,468.33,37,0.153,6,6,3,3.27,Detractor,0,0.153
CUST_10063,Male,50,46-55,89737,Medium,North,Tier 3,Regular,Offline Event,24,13345,67,199.18,51,0.345,3,0,0,3.83,Passive,0,0.109
CUST_10064,Male,34,26-35,172827,High,West,Tier 3,Premium,Paid Search,49,121363,139,873.12,30,0.251,13,10,2,3.39,Detractor,0,0.036
CUST_10065,Female,34,26-35,70230,Medium,West,Tier 2,New,Paid Search,1,187,0,187,87,0.396,1,15,1,4.13,Passive,0,0.209
CUST_10066,Other,35,26-35,88579,Medium,South,Tier 1,New,Organic,6,1207,2,603.5,76,0.29,1,11,1,3.47,Detractor,0,0.265
CUST_10067,Male,25,18-25,93255,Medium,Central,Tier 3,Regular,Referral,25,15825,58,272.84,12,0.351,6,14,2,2.87,Detractor,0,0.172
CUST_10068,Female,46,46-55,80709,Medium,East,Tier 1,Churned,Paid Search,32,809,2,404.5,303,0,0,4,4,1.52,Detractor,1,1
CUST_10069,Female,46,46-55,78691,Medium,South,Tier 2,Regular,Organic,8,3740,20,187,24,0.301,8,5,3,3.02,Detractor,0,0.168
CUST_10070,Male,34,26-35,50822,Medium,South,Tier 1,New,Paid Search,1,74,0,74,75,0.261,2,12,2,3.56,Passive,0,0.256
CUST_10071,Other,30,26-35,145472,High,North,Tier 1,Premium,Referral,1,1990,4,497.5,25,0.239,28,12,2,3.39,Detractor,0,0.031
CUST_10072,Male,25,18-25,71920,Medium,South,Tier 3,Regular,Referral,25,12482,73,170.99,43,0.253,3,14,1,3.38,Detractor,1,0.147
CUST_10073,Other,32,26-35,106343,High,East,Tier 3,Regular,Organic,16,9235,32,288.59,85,0.332,1,11,2,3.38,Detractor,1,0.182
CUST_10074,Male,31,26-35,56927,Medium,East,Tier 3,Regular,Paid Search,32,10248,65,157.66,11,0.113,9,16,0,3.68,Passive,0,0.091
CUST_10075,Other,46,46-55,86298,Medium,South,Tier 2,Regular,Partner,57,27750,150,185,65,0.365,4,11,3,3.49,Detractor,0,0.154
CUST_10076,Male,27,26-35,54398,Medium,West,Tier 2,Budget,Social Media,14,1595,20,79.75,90,0.34,2,11,2,2.93,Detractor,0,0.281
CUST_10077,Male,39,36-45,94123,Medium,South,Tier 2,Churned,Organic,58,3305,12,275.42,363,0.002,0,6,3,1.64,Detractor,1,1
CUST_10078,Other,32,26-35,37480,Low,North,Tier 2,Budget,Social Media,46,6696,53,126.34,84,0.169,0,16,1,2.87,Detractor,1,0.282
CUST_10079,Male,56,55+,99246,Medium,North,Tier 1,Regular,Offline Event,60,20489,171,119.82,74,0.118,8,10,0,3.69,Passive,0,0.142
CUST_10080,Other,28,26-35,99138,Medium,South,Tier 3,New,Partner,3,708,2,354,17,0.115,1,12,3,3.7,Passive,0,0.194
CUST_10081,Female,37,36-45,102384,High,West,Tier 2,Regular,Paid Search,19,7852,41,191.51,90,0.336,4,0,2,3.39,Detractor,0,0.185
CUST_10082,Other,54,46-55,78241,Medium,West,Tier 2,New,Social Media,3,529,1,529,43,0.341,2,10,1,3.23,Detractor,0,0.262
CUST_10083,Female,38,36-45,182297,High,West,Tier 2,Premium,Social Media,53,158495,347,456.76,1,0.163,17,0,3,2.78,Detractor,0,0.073
CUST_10084,Male,38,36-45,31041,Low,East,Tier 3,Budget,Paid Search,55,4879,20,243.95,42,0.252,0,7,2,2.55,Detractor,0,0.279
CUST_10085,Other,18,18-25,64417,Medium,South,Tier 2,Regular,Social Media,58,12461,60,207.68,26,0.249,3,11,1,3.21,Detractor,0,0.15
CUST_10086,Female,18,18-25,36467,Low,North,Tier 1,Budget,Partner,12,1976,4,494,66,0.171,0,17,3,2.82,Detractor,1,0.272
CUST_10087,Female,40,36-45,79465,Medium,West,Tier 2,Regular,Organic,12,6870,17,404.12,89,0.399,3,8,3,3.38,Detractor,0,0.185
CUST_10088,Female,18,18-25,68373,Medium,East,Tier 1,New,Paid Search,1,126,0,126,66,0.271,2,16,0,3.97,Passive,0,0.207
CUST_10089,Female,43,36-45,66260,Medium,West,Tier 3,Regular,Organic,20,8874,14,633.86,9,0.205,0,1,0,3.73,Passive,0,0.085
CUST_10090,Other,36,36-45,64819,Medium,West,Tier 1,Budget,Organic,35,8604,43,200.09,16,0.252,0,3,1,3.17,Detractor,1,0.196
CUST_10091,Male,37,36-45,71377,Medium,North,Tier 1,Budget,Referral,42,6194,40,154.85,5,0.294,2,1,1,4.04,Passive,0,0.1
CUST_10092,Male,52,46-55,77897,Medium,South,Tier 1,New,Partner,5,1025,1,1025,69,0.127,1,3,2,3.26,Detractor,0,0.281
CUST_10093,Female,29,26-35,42533,Low,North,Tier 2,Budget,Paid Search,3,274,1,274,28,0.381,1,12,1,3.58,Passive,0,0.165
CUST_10094,Male,28,26-35,71233,Medium,Central,Tier 2,Budget,Social Media,58,7087,47,150.79,33,0.144,0,13,2,3.26,Detractor,0,0.201
CUST_10095,Female,18,18-25,45113,Low,East,Tier 2,New,Referral,5,467,2,233.5,20,0.179,2,4,1,4.33,Passive,1,0.133
CUST_10096,Other,48,46-55,123440,High,North,Tier 2,Regular,Referral,22,19352,30,645.07,43,0.26,2,5,0,3.57,Passive,0,0.128
CUST_10097,Female,31,26-35,105728,High,North,Tier 3,Regular,Paid Search,34,27597,43,641.79,63,0.326,5,9,2,3.29,Detractor,0,0.172
CUST_10098,Female,45,36-45,236408,Premium,East,Tier 3,Premium,Referral,23,110963,126,880.66,26,0.118,18,7,1,3.72,Passive,0,0
CUST_10099,Other,30,26-35,102360,High,South,Tier 2,New,Paid Search,5,1185,0,1185,82,0.405,0,12,3,3.81,Passive,1,0.236
CUST_10100,Female,61,55+,102521,High,Central,Tier 2,Regular,Partner,34,31407,91,345.13,30,0.183,9,8,2,3.3,Detractor,0,0.145
CUST_10101,Male,30,26-35,94781,Medium,North,Tier 2,New,Partner,2,382,0,382,37,0.14,0,19,3,2.85,Detractor,0,0.295
CUST_10102,Female,26,26-35,133059,High,West,Tier 2,New,Referral,6,2077,4,519.25,52,0.315,1,12,3,3.37,Detractor,0,0.256
CUST_10103,Male,39,36-45,66781,Medium,South,Tier 3,Churned,Organic,59,2651,15,176.73,360,0.068,0,2,8,1,Detractor,1,1
CUST_10104,Female,19,18-25,59838,Medium,South,Tier 1,Budget,Organic,33,5265,10,526.5,64,0.18,2,18,1,3.73,Passive,0,0.179
CUST_10105,Male,46,46-55,67332,Medium,East,Tier 2,Churned,Social Media,14,295,2,147.5,291,0.097,0,10,8,1,Detractor,1,1
CUST_10106,Female,47,46-55,149743,High,Central,Tier 3,Premium,Paid Search,1,2610,3,870,12,0.323,24,4,0,3.9,Passive,0,0
CUST_10107,Female,29,26-35,55571,Medium,North,Tier 2,Budget,Offline Event,27,2925,23,127.17,20,0.259,0,8,2,3.15,Detractor,0,0.201
CUST_10108,Other,52,46-55,83783,Medium,East,Tier 1,Regular,Referral,54,23610,45,524.67,56,0.457,4,4,2,3.26,Detractor,1,0.17
CUST_10109,Female,18,18-25,29408,Low,East,Tier 3,Budget,Social Media,13,1730,18,96.11,35,0.335,3,5,1,3.31,Detractor,0,0.198
CUST_10110,Female,24,18-25,88173,Medium,Central,Tier 3,Churned,Organic,53,2351,4,587.75,145,0.094,0,11,7,1.14,Detractor,1,1
CUST_10111,Male,50,46-55,107524,High,East,Tier 2,Regular,Organic,1,627,1,627,63,0.342,5,0,1,3.27,Detractor,0,0.174
CUST_10112,Male,50,46-55,78519,Medium,East,Tier 3,Churned,Social Media,53,2188,8,273.5,142,0.044,0,10,6,2.15,Detractor,1,1
CUST_10113,Female,29,26-35,67554,Medium,South,Tier 1,New,Social Media,3,566,2,283,55,0.316,1,14,2,3.38,Detractor,0,0.257
CUST_10114,Female,31,26-35,57683,Medium,East,Tier 2,Regular,Paid Search,28,11546,35,329.89,35,0.093,9,11,0,3.58,Passive,0,0.121
CUST_10115,Male,44,36-45,188389,High,East,Tier 2,Premium,Social Media,59,156342,232,673.89,9,0.34,17,4,0,4.33,Passive,0,0
CUST_10116,Female,45,36-45,78430,Medium,East,Tier 2,Churned,Offline Event,48,3008,8,376,280,0.086,0,3,2,2.04,Detractor,1,1
CUST_10117,Other,33,26-35,73136,Medium,North,Tier 1,Regular,Partner,57,25327,55,460.49,58,0.285,3,8,3,3.12,Detractor,0,0.186
CUST_10118,Other,35,26-35,107244,High,South,Tier 1,Regular,Paid Search,36,29235,98,298.32,72,0.46,3,0,3,3.35,Detractor,1,0.174
CUST_10119,Other,18,18-25,44152,Low,Central,Tier 3,Budget,Social Media,18,2972,7,424.57,6,0.284,1,14,3,2.87,Detractor,0,0.218
CUST_10120,Other,30,26-35,38549,Low,North,Tier 1,Budget,Organic,25,3199,18,177.72,78,0.241,2,13,0,3.68,Passive,0,0.196
CUST_10121,Female,22,18-25,48459,Low,Central,Tier 3,Budget,Referral,20,4096,12,341.33,35,0.192,1,14,0,3.56,Passive,0,0.173
CUST_10122,Female,23,18-25,87958,Medium,East,Tier 3,Regular,Paid Search,16,13101,16,818.81,15,0.342,4,8,0,3.62,Passive,0,0.1
CUST_10123,Male,19,18-25,59322,Medium,South,Tier 2,Budget,Referral,21,5782,21,275.33,2,0.282,1,14,0,3.46,Detractor,0,0.156
CUST_10124,Other,61,55+,50704,Medium,North,Tier 2,Churned,Offline Event,42,1008,8,126,195,0.109,0,4,8,1.29,Detractor,1,1
CUST_10125,Female,43,36-45,60585,Medium,South,Tier 2,Churned,Organic,28,920,7,131.43,137,0,0,5,6,1.13,Detractor,1,1
CUST_10126,Female,38,36-45,34661,Low,East,Tier 1,Budget,Paid Search,12,1712,13,131.69,25,0.285,2,5,3,3.56,Passive,1,0.165
CUST_10127,Female,32,26-35,37305,Low,North,Tier 2,Budget,Social Media,2,142,0,142,83,0.299,1,12,0,3.27,Detractor,0,0.242
CUST_10128,Male,39,36-45,149669,High,Central,Tier 3,Premium,Social Media,46,62927,97,648.73,25,0.15,16,6,1,4.23,Passive,0,0
CUST_10129,Male,36,36-45,40005,Low,Central,Tier 1,Budget,Organic,7,914,2,457,54,0.389,4,9,1,3.35,Detractor,0,0.21
CUST_10130,Female,40,36-45,90398,Medium,West,Tier 2,Regular,Organic,58,16608,53,313.36,15,0.29,11,4,2,3.52,Passive,0,0.111
CUST_10131,Male,33,26-35,93515,Medium,Central,Tier 1,Regular,Social Media,22,14139,48,294.56,20,0.369,1,9,0,3.63,Passive,0,0.104
CUST_10132,Male,20,18-25,47075,Low,East,Tier 3,Budget,Organic,5,948,6,158,20,0.26,1,14,3,3.16,Detractor,0,0.2
CUST_10133,Other,50,46-55,85558,Medium,West,Tier 3,Regular,Social Media,6,2640,4,660,50,0.18,6,0,2,3.49,Detractor,1,0.142
CUST_10134,Female,41,36-45,123412,High,West,Tier 2,New,Social Media,5,1148,2,574,30,0.151,1,0,1,3.99,Passive,0,0.176
CUST_10135,Male,26,26-35,54738,Medium,North,Tier 1,Regular,Offline Event,24,8689,69,125.93,15,0.336,5,16,1,3.11,Detractor,0,0.151
CUST_10136,Other,38,36-45,84411,Medium,West,Tier 1,Regular,Organic,4,2631,3,877,90,0.222,1,15,2,3.53,Passive,1,0.171
CUST_10137,Other,53,46-55,98936,Medium,North,Tier 2,Regular,Organic,11,3606,15,240.4,11,0.25,4,7,1,3.33,Detractor,0,0.126
CUST_10138,Other,26,26-35,60896,Medium,East,Tier 2,Regular,Organic,29,14143,64,220.98,37,0.277,4,8,1,3.28,Detractor,0,0.152
CUST_10139,Female,52,46-55,168864,High,West,Tier 2,Premium,Partner,36,115066,103,1117.15,19,0.093,19,2,0,4.28,Passive,0,0
CUST_10140,Female,35,26-35,111596,High,West,Tier 2,Regular,Paid Search,12,11068,35,316.23,78,0.35,0,1,3,3.25,Detractor,0,0.189
CUST_10141,Male,30,26-35,86761,Medium,East,Tier 3,Regular,Paid Search,7,2294,9,254.89,43,0.33,4,10,0,3.77,Passive,0,0.108
CUST_10142,Female,34,26-35,105186,High,Central,Tier 2,Regular,Offline Event,16,8090,47,172.13,73,0.532,6,10,0,3.81,Passive,0,0.129
CUST_10143,Male,47,46-55,188396,High,East,Tier 3,Premium,Organic,21,77385,121,639.55,5,0.237,16,0,0,4.47,Passive,0,0
CUST_10144,Female,38,36-45,64084,Medium,North,Tier 2,Churned,Social Media,38,2083,2,1041.5,172,0.145,0,6,7,1.01,Detractor,1,1
CUST_10145,Female,20,18-25,83232,Medium,South,Tier 3,Regular,Social Media,33,17446,76,229.55,84,0.081,3,9,2,3.45,Detractor,0,0.174
CUST_10146,Male,46,46-55,44704,Low,West,Tier 1,Budget,Partner,39,3132,17,184.24,81,0.295,1,11,2,3.15,Detractor,0,0.252
CUST_10147,Female,27,26-35,67385,Medium,North,Tier 2,Regular,Social Media,19,5293,22,240.59,47,0.227,4,10,3,2.88,Detractor,0,0.201
CUST_10148,Female,45,36-45,85529,Medium,South,Tier 3,Churned,Partner,32,923,8,115.38,295,0,0,3,6,1.01,Detractor,1,1
CUST_10149,Male,28,26-35,52089,Medium,East,Tier 1,New,Social Media,4,298,3,99.33,88,0.516,1,18,0,4.19,Passive,1,0.204
CUST_10150,Male,35,26-35,61187,Medium,West,Tier 1,Regular,Social Media,5,1382,13,106.31,86,0.343,5,0,3,2.7,Detractor,1,0.251
CUST_10151,Male,36,36-45,110870,High,West,Tier 3,Regular,Paid Search,22,8605,29,296.72,78,0.095,4,1,0,3.84,Passive,0,0.131
CUST_10152,Female,18,18-25,20000,Low,South,Tier 1,Budget,Paid Search,39,3105,12,258.75,47,0.318,0,12,0,3.7,Passive,0,0.168
CUST_10153,Female,45,36-45,74026,Medium,East,Tier 2,New,Paid Search,2,158,0,158,39,0.327,0,2,2,3.7,Passive,1,0.212
CUST_10154,Male,53,46-55,179580,High,West,Tier 1,Premium,Offline Event,11,21562,78,276.44,16,0.099,21,8,2,4.19,Passive,0,0
CUST_10155,Female,26,26-35,53736,Medium,North,Tier 2,Budget,Offline Event,13,1261,14,90.07,79,0.341,3,14,2,2.66,Detractor,1,0.299
CUST_10156,Female,19,18-25,45367,Low,West,Tier 3,Budget,Paid Search,44,5654,39,144.97,1,0.489,1,15,0,3.17,Detractor,1,0.184
CUST_10157,Female,34,26-35,42230,Low,West,Tier 2,Churned,Organic,39,903,5,180.6,187,0.209,0,19,2,2.15,Detractor,1,1
CUST_10158,Male,38,36-45,90093,Medium,Central,Tier 3,Regular,Paid Search,32,20701,52,398.1,53,0.138,8,0,2,3.76,Passive,1,0.117
CUST_10159,Female,33,26-35,66356,Medium,West,Tier 1,Regular,Referral,11,4757,15,317.13,85,0.21,1,10,0,4.21,Passive,0,0.099
CUST_10160,Male,50,46-55,118654,High,North,Tier 2,Regular,Referral,32,29662,65,456.34,70,0.338,5,4,2,3.36,Detractor,0,0.171
CUST_10161,Female,44,36-45,95011,Medium,West,Tier 2,Regular,Paid Search,55,27636,44,628.09,60,0.092,6,3,0,3.33,Detractor,0,0.167
CUST_10162,Other,18,18-25,115218,High,East,Tier 2,Regular,Referral,20,19277,49,393.41,54,0.246,3,12,0,3.76,Passive,0,0.119
CUST_10163,Other,34,26-35,76544,Medium,Central,Tier 2,Regular,Paid Search,37,26424,40,660.6,51,0.301,8,15,3,2.73,Detractor,1,0.219
CUST_10164,Female,34,26-35,109258,High,South,Tier 2,New,Social Media,2,384,0,384,17,0.109,1,13,2,3.04,Detractor,0,0.26
CUST_10165,Male,34,26-35,117091,High,South,Tier 1,Regular,Paid Search,1,826,1,826,4,0.158,1,17,0,3.73,Passive,0,0.08
CUST_10166,Female,45,36-45,80552,Medium,East,Tier 1,Regular,Offline Event,15,6018,27,222.89,32,0.223,0,2,0,3.96,Passive,0,0.08
CUST_10167,Male,28,26-35,104910,High,Central,Tier 3,Regular,Paid Search,60,34491,46,749.8,37,0.245,5,18,1,3.87,Passive,0,0.093
CUST_10168,Male,18,18-25,40598,Low,West,Tier 1,Budget,Partner,5,450,3,150,41,0.177,0,13,1,3.51,Passive,0,0.182
CUST_10169,Other,18,18-25,54726,Medium,North,Tier 1,New,Social Media,3,302,1,302,70,0.371,1,11,0,4.15,Passive,0,0.192
CUST_10170,Other,25,18-25,41246,Low,South,Tier 1,Budget,Social Media,58,4435,38,116.71,29,0.383,3,14,1,3.47,Detractor,0,0.177
CUST_10171,Other,29,26-35,64777,Medium,East,Tier 2,Regular,Organic,28,11479,41,279.98,25,0.25,5,15,3,2.81,Detractor,1,0.19
CUST_10172,Other,60,55+,105989,High,East,Tier 1,Churned,Social Media,47,3075,12,256.25,306,0.015,0,4,5,1.63,Detractor,1,1
CUST_10173,Female,18,18-25,66571,Medium,Central,Tier 2,Budget,Offline Event,53,5634,24,234.75,5,0.324,1,7,2,3.32,Detractor,0,0.172
CUST_10174,Female,31,26-35,91223,Medium,East,Tier 2,Regular,Paid Search,16,5223,34,153.62,48,0.303,6,18,2,3.43,Detractor,0,0.147
CUST_10175,Male,27,26-35,37803,Low,South,Tier 2,Budget,Social Media,39,3281,20,164.05,72,0.226,4,17,0,3.1,Detractor,0,0.249
CUST_10176,Female,39,36-45,87427,Medium,West,Tier 1,New,Social Media,2,180,1,180,6,0.354,1,6,2,3.73,Passive,0,0.182
CUST_10177,Other,30,26-35,61588,Medium,North,Tier 1,Regular,Referral,55,19876,28,709.86,60,0.209,9,5,0,4.17,Passive,0,0.083
CUST_10178,Male,33,26-35,120558,High,West,Tier 1,Premium,Organic,47,70916,151,469.64,12,0.147,25,9,3,3.98,Passive,0,0
CUST_10179,Female,28,26-35,30290,Low,North,Tier 3,Budget,Partner,7,350,2,175,2,0.454,5,16,1,2.93,Detractor,1,0.208
CUST_10180,Male,32,26-35,117002,High,Central,Tier 3,Regular,Partner,56,19392,151,128.42,6,0.436,8,15,3,3.32,Detractor,0,0.123
CUST_10181,Female,46,46-55,102394,High,Central,Tier 2,Regular,Paid Search,56,19905,109,182.61,53,0.153,0,2,3,3.17,Detractor,0,0.177
